pr_id,user_id,github_username,repo_name,repo_full_name,department,pr_title,pr_state,created_at,merged_at,cycle_time_hours,lines_added,lines_removed,review_count,commit_count,rework_ratio,period
vscode#53843,,mattpocock,vscode,microsoft/vscode,Engineering,fix: update vscode component #53843,merged,2020-04-19T11:44:04+00:00,2020-04-20T15:41:11.719597+00:00,27.95,287,193,1,7,0.672,Before
vscode#60974,,trpc,vscode,microsoft/vscode,Engineering,fix: update vscode component #60974,merged,2022-06-10T18:42:53+00:00,2022-06-13T07:17:34.467216+00:00,60.58,1502,1468,0,11,0.977,Before
vscode#56617,,epoberezkin,vscode,microsoft/vscode,Engineering,fix: update vscode component #56617,merged,2022-02-19T09:31:32+00:00,2022-02-19T13:48:36.954805+00:00,4.28,1672,1298,5,8,0.776,Before
vscode#59971,,trpc,vscode,microsoft/vscode,Engineering,fix: update vscode component #59971,merged,2021-04-05T12:18:59+00:00,2021-04-08T07:24:42.337057+00:00,67.1,770,611,5,10,0.794,Before
vscode#64229,,MarkPieszak,vscode,microsoft/vscode,Engineering,fix: update vscode component #64229,merged,2021-12-21T18:22:36+00:00,2021-12-22T17:51:18.862064+00:00,23.48,1014,444,8,1,0.438,Before
vscode#69744,,rauchg,vscode,microsoft/vscode,Engineering,fix: update vscode component #69744,merged,2020-03-01T22:51:59+00:00,2020-03-04T03:10:55.293569+00:00,52.32,1509,842,3,11,0.558,Before
vscode#31802,,fkling,vscode,microsoft/vscode,Engineering,fix: update vscode component #31802,merged,2021-01-20T13:04:49+00:00,2021-01-21T17:00:44.304906+00:00,27.93,1608,972,3,5,0.604,Before
vscode#95227,,sindresorhus,vscode,microsoft/vscode,Engineering,fix: update vscode component #95227,merged,2021-12-27T10:22:02+00:00,2021-12-29T04:39:16.509818+00:00,42.29,1907,1360,6,8,0.713,Before
vscode#45280,,trpc,vscode,microsoft/vscode,Engineering,fix: update vscode component #45280,merged,2022-05-23T15:23:45+00:00,2022-05-23T23:02:10.829233+00:00,7.64,1034,828,0,8,0.801,Before
vscode#35277,,gcanti,vscode,microsoft/vscode,Engineering,fix: update vscode component #35277,merged,2021-01-16T23:13:49+00:00,2021-01-17T21:49:36.882428+00:00,22.6,1934,753,0,12,0.389,Before
