prompt_id,user_id,timestamp,department,model_name,prompt_text,token_count,cost_usd,risk_flag,risk_score,risk_level
LOG1A4317149938,USRBE88ECB7B8F6,2023-10-16T23:04:52,DevOps,github-copilot,Process card 4111-1111-1111-1111 for customer John Smith,1530.0,0.0153,1,58.9,High
LOG6A9DE1AE17D5,USR1DB93F07AF50,2024-03-05T16:13:26,Data Science,gpt-4.1-mini,Email john.smith@acmecorp.com about the Q3 merger with ProjectPhoenix,1685.0,0.00674,1,97.9,Critical
LOG55EBB8688734,USR65D56B978DF2,2024-05-15T06:54:56,DevOps,gemini-2.5-pro,Email john.smith@acmecorp.com about the Q3 merger with ProjectPhoenix,3883.0,0.031064,1,89.5,Critical
LOG2A8E4AF71EFA,USR32D3FC0C51F5,2024-03-23T13:05:02,Mobile,gemini-2.5-pro,"My API key sk-prod-abc123def456 is not working, please debug",1086.0,0.008688,1,61.5,High
LOG69EBA92CFAB0,USRCE7A3D5555BF,2023-08-17T14:46:02,Engineering,github-copilot,Help me debug this error: AttributeError in line 42,6389.356402684135,0.06740426092900258,0,4.2,Low
LOGCB79CB747AD2,USR22373F2763A1,2022-10-20T05:44:26,Data Science,gemini-2.5-pro,"My password is hunter2, can you check if this code is secure?",1025.0,0.0082,1,33.2,Medium
LOG45E2CADCE681,USRAEC99E76025C,2023-01-04T05:12:43,Security,gpt-4.1-mini,Debug this React component re-rendering issue,2506.0,0.010024,0,3.9,Low
LOG2F56F5DBA090,USRD87C16B4D444,2022-12-05T11:12:10,Security,gemini-2.5-pro,What is the best architecture for a microservice handling 10k rps?,893.9510207990563,0.00990054269919509,0,8.3,Low
LOG230EC1FF90C5,USRB80050CD7911,2023-11-19T09:53:28,Data Science,claude-sonnet-4,Optimise this database query for performance,2777.0,0.041655,0,11.4,Low
LOG2DF86A0B81E7,USR69FD920B8EDB,2022-06-14T09:26:15,Frontend,claude-haiku-3.5,Generate a monthly report for the board,1219.0,0.003657,0,6.7,Low
LOG2D7EAF4CB851,USRD87734E65182,2023-06-03T14:12:53,Frontend,gpt-4.1,The SSN 123-45-6789 belongs to employee ID EMP001,189.0,0.00378,1,63.7,High
LOG7092163F0D66,USRC019B09E628A,2023-01-25T03:52:00,Backend,claude-sonnet-4,Email john.smith@acmecorp.com about the Q3 merger with ProjectPhoenix,590.0,0.00885,1,95.3,Critical
LOG2425FC461E0F,USRBE76BC0BF7E0,2022-09-01T20:39:42,Frontend,gpt-4.1,Explain how Kubernetes pod scheduling works,4287.0,0.08574,0,2.9,Low
LOG5BF8B611B1D7,USR96F7DDD6124B,2022-10-27T18:34:57,Frontend,claude-sonnet-4,Write a Terraform module for AWS ECS,2843.0,0.042645,0,10.4,Low
LOG64E394388F53,USR26AE5F81F1A2,2024-06-28T13:16:27,Security,gemini-2.5-pro,What is the best architecture for a microservice handling 10k rps?,1878.0,0.015024,0,10.9,Low
LOG52DD24F48F15,USRD6B1A1005545,2024-03-08T17:19:03,Security,claude-sonnet-4,Translate this function to TypeScript,1088.0,0.01632,0,14.7,Low
LOG006446AF9F31,USR469CA53EA1CD,2022-12-31T01:32:01,Engineering,gpt-4.1,Process card 4111-1111-1111-1111 for customer John Smith,3537.0,0.07074,1,50.9,High
LOG6E1D84FF5690,USRDE02917CBB9C,2024-06-03T07:06:21,Mobile,llama-3.3-70b,Optimise this database query for performance,3323.0,0.006646,0,4.4,Low
LOG8D8C7167ABA0,USR8963F2E9CEC6,2024-04-08T20:40:30,DevOps,claude-haiku-3.5,Write a Terraform module for AWS ECS,2067.0,0.006201,0,7.4,Low
LOG70F963372C39,USR67037F25A82D,2023-02-20T15:13:08,Data Science,claude-haiku-3.5,Generate a monthly report for the board,1754.0,0.005262,0,7.2,Low
LOGB6F921D8CBD9,USR0021F1C8AF83,2023-06-07T01:31:03,DevOps,llama-3.3-70b,What is the best architecture for a microservice handling 10k rps?,728.0,0.001456,0,14.1,Low
LOGF2BEA01A7B6A,USR75DB4C956353,2022-09-26T20:23:47,Backend,github-copilot,The SSN 123-45-6789 belongs to employee ID EMP001,951.0,0.00951,1,66.3,High
LOG595AC5A60522,USRE94D4D54F556,2022-12-10T18:36:53,Mobile,github-copilot,Translate this function to TypeScript,5601.0,0.05601,0,1.3,Low
LOG28BBB88A40B8,USRBC4D83B98974,2024-03-30T02:40:07,Data Science,claude-haiku-3.5,Email john.smith@acmecorp.com about the Q3 merger with ProjectPhoenix,3622.5552489606644,0.012906677708580134,1,92.2,Critical
LOG4F07DFF7DE16,USRB73B037AD730,2022-08-17T01:50:52,Mobile,llama-3.3-70b,Translate this function to TypeScript,5875.815923207084,0.008418228616717972,0,8.5,Low
LOG3EB477F9F759,USRD6B1A1005545,2022-12-04T07:24:39,Security,gpt-4.1-mini,Generate a regex to validate email addresses,1265.0,0.00506,1,25.2,Medium
LOG431C8B549D68,USR7665A1043EBC,2023-05-16T21:59:51,Data Science,claude-haiku-3.5,Review this PR and suggest improvements,2686.0,0.008058,0,0.0,Low
LOG075296CA4F11,USRF33D315A3652,2024-03-29T16:13:51,Frontend,claude-haiku-3.5,Translate this function to TypeScript,908.5219124986905,0.00307599447634973,0,0.5,Low
LOG299FC1132383,USR65D56B978DF2,2024-02-02T22:10:43,DevOps,gpt-4.1-mini,Write a Python script to parse JSON responses,2514.0,0.010056,0,13.9,Low
LOGD60B5139CF53,USR8728B58E37EF,2023-10-17T00:47:10,Engineering,claude-haiku-3.5,Debug this React component re-rendering issue,4620.925279738411,0.01552831417467149,0,14.0,Low
LOG736C89AD40B6,USRE94D4D54F556,2022-07-17T07:44:01,Mobile,github-copilot,Optimise this pandas DataFrame merge operation,445.0,0.00445,0,2.1,Low
